x	y	col	festa	mov	r	teta	w
610	380	blu	0	2	240	0.0	0.5
610	380	blu	0	2	240	12.413793103448276	0.5
610	380	blu	0	2	240	24.82758620689655	0.5
610	380	blu	0	2	240	37.241379310344826	0.5
610	380	blu	0	2	240	49.6551724137931	0.5
610	380	blu	0	2	240	62.06896551724138	0.5
610	380	blu	0	2	240	74.48275862068965	0.5
610	380	blu	0	2	240	86.89655172413794	0.5
610	380	blu	0	2	240	99.3103448275862	0.5
610	380	blu	0	2	240	111.72413793103448	0.5
610	380	blu	0	2	240	124.13793103448276	0.5
610	380	blu	0	2	240	136.55172413793105	0.5
610	380	blu	0	2	240	148.9655172413793	0.5
610	380	blu	0	2	240	161.3793103448276	0.5
610	380	blu	0	2	240	173.79310344827587	0.5
610	380	blu	0	2	240	186.20689655172413	0.5
610	380	blu	0	2	240	198.6206896551724	0.5
610	380	blu	0	2	240	211.0344827586207	0.5
610	380	blu	0	2	240	223.44827586206895	0.5
610	380	blu	0	2	240	235.86206896551724	0.5
610	380	blu	0	2	240	248.27586206896552	0.5
610	380	blu	0	2	240	260.6896551724138	0.5
610	380	blu	0	2	240	273.1034482758621	0.5
610	380	blu	0	2	240	285.51724137931035	0.5
610	380	blu	0	2	240	297.9310344827586	0.5
610	380	blu	0	2	240	310.3448275862069	0.5
610	380	blu	0	2	240	322.7586206896552	0.5
610	380	blu	0	2	240	335.17241379310343	0.5
610	380	blu	0	2	240	347.58620689655174	0.5
610	380	blu	0	2	160	0.0	-0.5
610	380	blu	0	2	160	18.94736842105263	-0.5
610	380	blu	0	2	160	37.89473684210526	-0.5
610	380	blu	0	2	160	56.84210526315789	-0.5
610	380	blu	0	2	160	75.78947368421052	-0.5
610	380	blu	0	2	160	94.73684210526315	-0.5
610	380	blu	0	2	160	113.68421052631578	-0.5
610	380	blu	0	2	160	132.6315789473684	-0.5
610	380	blu	0	2	160	151.57894736842104	-0.5
610	380	blu	0	2	160	170.52631578947367	-0.5
610	380	blu	0	2	160	189.4736842105263	-0.5
610	380	blu	0	2	160	208.42105263157893	-0.5
610	380	blu	0	2	160	227.36842105263156	-0.5
610	380	blu	0	2	160	246.3157894736842	-0.5
610	380	blu	0	2	160	265.2631578947368	-0.5
610	380	blu	0	2	160	284.2105263157895	-0.5
610	380	blu	0	2	160	303.1578947368421	-0.5
610	380	blu	0	2	160	322.1052631578947	-0.5
610	380	blu	0	2	160	341.05263157894734	-0.5
610	380	blu	0	2	80	0.0	0.5
610	380	blu	0	2	80	40.0	0.5
610	380	blu	0	2	80	80.0	0.5
610	380	blu	0	2	80	120.0	0.5
610	380	blu	0	2	80	160.0	0.5
610	380	blu	0	2	80	200.0	0.5
610	380	blu	0	2	80	240.0	0.5
610	380	blu	0	2	80	280.0	0.5
610	380	blu	0	2	80	320.0	0.5
